round,cat,val,q,a,dd,x,y
double,"Legal Terms",400,"Whatis the term for a formal charge or accusation of a serious crime?", "Felony",false,3,1
double,"Legal Terms",800,"What is the term for a defense in which a person claims they committed the crime but should not be held legally responsible?", "Insanity defense",false,3,2
double,"Legal Terms",1200,"What is the term for the intentional and unjustifiable killing of another person?", "Homicide",false,3,3
double,"Legal Terms",1600,"What is the term for the act of causing someone to fear for their safety through threats or intimidation?", "Stalking",false,3,4
double,"Legal Terms",2000,"What is the term for the act of intentionally damaging or destroying another person's property?", "Vandalism",false,3,5
double,"Criminal Justice",400,"What is the term for the process of questioning a suspect to obtain information or confession?", "Interrogation",false,4,1
double,"Criminal Justice",800,"What is the term for a document that outlines the charges against a defendant and their legal rights?", "Indictment",false,4,2
double,"Criminal Justice",1200,"What is the term for the act of deliberately misleading or deceiving the court or jury during a trial?", "Perjury",false,4,3
double,"Criminal Justice",1600,"What is the term for a legally binding decision reached by a jury or judge in a criminal case?", "Verdict",false,4,4
double,"Criminal Justice",2000,"What is the term for the act of releasing a convicted person from prison before the completion of their sentence?", "Parole",false,4,5
double,"Forensic Science",400,"What is the process of using fingerprints to identify individuals involved in a crime?", "Fingerprinting",false,5,1
double,"Forensic Science",800,"What is the term for the study of human decomposition to estimate the time since death?", "Forensic entomology",false,5,2
double,"Forensic Science",1200,"What is the term for the scientific analysis of firearms and ammunition?", "Ballistics",false,5,3
double,"Forensic Science",1600,"What is the term for the examination of digital evidence in criminal investigations?", "Digital forensics",false,5,4
double,"Forensic Science",2000,"What is the term for the scientific examination of documents to establish authenticity or detect forgery?", "Document examination",false,5,5
double,"Crime Prevention",400,"What is the term for a program that aims to rehabilitate offenders and prevent future criminal behavior?", "Rehabilitation program",false,6,1
double,"Crime Prevention",800,"What is the term for a system of video surveillance used to monitor public areas for criminal activity?", "Closed-circuit television (CCTV)",false,6,2
double,"Crime Prevention",1200,"What is the term for the act of installing security measures to protect against unauthorized access?", "Security system",false,6,3
double,"Crime Prevention",1600,"What is the term for a community-based approach to crime prevention that involves residents and law enforcement working together?", "Neighborhood watch",false,6,4
double,"Crime Prevention",2000,"What is the term for the act of removing or disabling a vehicle's ignition system to prevent it from being stolen?", "Car immobilization",false,6,5
final,"FINAL CATEGORY",0,"What is the legal term for the intentional act of unlawfully causing the death of another person?", "Homicide",true,1,1
