round,cat,val,q,a,dd,x,y
double,"Meme Celebrities",1600,"This singer and songwriter became a meme with his hit song 'Never Gonna Give You Up'.","Who is Rick Astley?",false,3,4
double,"Meme Celebrities",2000,"This rapper gained popularity with his song 'Old Town Road' and became a meme icon.","Who is Lil Nas X?",false,3,5
double,"Meme Formats",400,"This meme format features a side-by-side comparison of two similar things with the phrase 'You vs. the _______ she tells you not to worry about.'","What is 'girlfriend'?",false,4,1
double,"Meme Formats",800,"This meme format involves a picture of a butterfly with a caption that begins with 'Is this a _______?'","What is 'pigeon'?",false,4,2
double,"Meme Formats",1200,"This meme format features a screenshot from the movie 'The Dark Knight' with the phrase 'You either die a hero, or you live long enough to become the _______.'","What is 'villain'?",false,4,3
double,"Meme Formats",1600,"This meme format features a picture of a guy checking out another girl while holding his girlfriend's hand.","What is 'distracted boyfriend'?",false,4,4
double,"Meme Formats",2000,"This meme format involves a picture of a woman yelling at a white cat sitting at a dinner table.","What is 'woman yelling at a cat'?",false,4,5
double,"Meme Subcultures",400,"This internet subculture revolves around humorous and often ironic usage of ASCII art.","What is 'ASCII Art'?",false,5,1
double,"Meme Subcultures",800,"This online community is known for creating and sharing animated GIFs with humorous captions.","What is 'GIF Culture'?",false,5,2
double,"Meme Subcultures",1200,"This internet subculture is characterized by its fascination with cats and the creation of cat-related memes.","What is 'Cat Memes'?",false,5,3
double,"Meme Subcultures",1600,"This online community is known for creating and sharing memes related to video games and gaming culture.","What is 'Gaming Memes'?",false,5,4
double,"Meme Subcultures",2000,"This meme subculture emerged on Reddit and is dedicated to memes featuring frogs and the character Pepe.","What is 'Frogposting'?",false,5,5
final,"Meme Legends",2000,"This iconic internet meme originated from a YouTube video featuring a nonchalant honey badger.","What is the 'Honey Badger Don't Care' meme?",true,1,1
