round,cat,val,q,a,dd,x,y
jeopardy,"Word Origins",600,"What is the origin of the word 'phubbing'?", "It is a combination of 'phone' and 'snubbing'",false,6,3
jeopardy,"Word Origins",800,"What is the origin of the term 'FOMO'?", "It stands for 'fear of missing out'",false,6,4
jeopardy,"Word Origins",1000,"What is the origin of the word 'selfie'?", "It was named 2013 Word of the Year by Oxford Dictionaries",false,6,5
double,"Urban Dictionary",400,"What is the term for a person who is obsessed with their appearance and takes excessive selfies?", "Narcissist",true,1,1
double,"Urban Dictionary",800,"What is the term for a person who continuously interrupts conversations or talks excessively?", "Chatterbox",true,1,2
double,"Urban Dictionary",1200,"What is the term for someone who is overly obsessed with technology and digital devices?", "Technophile",false,1,3
double,"Urban Dictionary",1600,"What is the term for a person who claims to have expertise or knowledge but actually doesn't?", "Pseudointellectual",false,1,4
double,"Urban Dictionary",2000,"What is the term for a person who is always late and keeps others waiting?", "Time bandit",false,1,5
double,"Slang Words",400,"What is the term for an event or situation that is very exciting or impressive?", "Epic",false,2,1
double,"Slang Words",800,"What is the term for a person who is excessively concerned with their appearance?", "Fashionista",false,2,2
double,"Slang Words",1200,"What is the term for a person who is overly enthusiastic and energetic?", "Hyper",false,2,3
double,"Slang Words",1600,"What is the term for a person who is extremely cool, impressive, or admirable?", "Badass",false,2,4
double,"Slang Words",2000,"What is the term for a person who is excellent or outstanding?", "Ace",false,2,5
double,"Acronyms",400,"What does the acronym 'TBH' stand for?", "To be honest",false,3,1
double,"Acronyms",800,"What does the acronym 'SMH' stand for?", "Shaking my head",false,3,2
double,"Acronyms",1200,"What does the acronym 'TBT' stand for?", "Throwback Thursday",false,3,3
double,"Acronyms",1600,"What does the acronym 'IRL' stand for?", "In real life",false,3,4
double,"Acronyms",2000,"What does the acronym 'FOMO' stand for?", "Fear of missing out",false,3,5
double,"Internet Slang",400,"What is the term for intentionally making someone angry or upset online?", "Flaming",false,4,1
double,"Internet Slang",800,"What is the term for expressing sarcasm or irony online?", "Savage",false,4,2
double,"Internet Slang",1200,"What is the term for a person who constantly craves attention and validation on social media?", "Attention whore",false,4,3
double,"Internet Slang",1600,"What is the term for sharing excessive personal details on social media?", "Oversharing",false,4,4
double,"Internet Slang",2000,"What is the term for a person who is extremely addicted to the internet?", "Webaholic",false,4,5
double,"Emoji Meanings",400,"What does the emoji 😍 commonly indicate?", "Admiration or affection",false,5,1
double,"Emoji Meanings",800,"What does the emoji 🙏 often symbolize?", "Prayer or gratitude",false,5,2
double,"Emoji Meanings",1200,"What does the emoji 🤣 typically represent?", "Intense laughter or hilarity",false,5,3
double,"Emoji Meanings",1600,"What does the emoji 🤓 usually imply?", "Nerdiness or intelligence",false,5,4
double,"Emoji Meanings",2000,"What does the emoji 💯 commonly signify?", "Perfection or excellence",false,5,5
double,"Word Origins",400,"What is the origin of the term 'YOLO'?", "It stands for 'you only live once'",false,6,1
double,"Word Origins",800,"What is the origin of the term 'selfie'?", "It originated from a photo posted by a drunk Australian man in 2002",false,6,2
double,"Word Origins",1200,"What is the origin of the term 'phubbing'?", "It is a combination of 'phone' and 'snubbing'",false,6,3
double,"Word Origins",1600,"What is the origin of the word 'twerk'?", "It originated from the New Orleans bounce music scene in the early 1990s",false,6,4
double,"Word Origins",2000,"What is the origin of the term 'FOMO'?", "It was first used by Dr. Dan Herman in a Harvard Business School article in 2000",false,6,5
final,"Urban Dictionary",0,"What is the term for a person who has an excessive or irrational fear of missing out?", "FOMOphobia",false,1,1
