round,cat,val,q,a,dd,x,y
double,"CATEGORY 4",800,"Which game features a character named Joel, who escorts a young girl named Ellie across a post-apocalyptic United States?","The Last of Us",false,4,2
double,"CATEGORY 4",1200,"In the game 'Final Fantasy X', what is the name of the protagonist who embarks on a quest to defeat the monster Sin?","Tidus",false,4,3
double,"CATEGORY 4",1600,"Which game series features the character Solid Snake, a former special forces operative and mercenary?","Metal Gear Solid",false,4,4
double,"CATEGORY 4",2000,"In the game 'Bioshock Infinite', what is the name of the floating city in the sky?","Columbia",false,4,5
double,"CATEGORY 5",400,"Which game features the character Kratos, a Spartan warrior seeking revenge against the gods of Olympus?","God of War",false,5,1
double,"CATEGORY 5",800,"In the game 'The Elder Scrolls V: Skyrim', what is the name of the dragon that serves as the main antagonist?","Alduin",false,5,2
double,"CATEGORY 5",1200,"Which game series is set in the fictional city of City 17, ruled by the Combine forces?","Half-Life",false,5,3
double,"CATEGORY 5",1600,"In the game 'Pokémon Red and Blue', which Pokémon is featured on the cover of the Red version?","Charizard",false,5,4
double,"CATEGORY 5",2000,"Which game features the character Ezio Auditore da Firenze, an Italian assassin during the Renaissance?","Assassin's Creed II",false,5,5
double,"CATEGORY 6",400,"In the game 'Portal', what is the name of the AI character who guides the player?","GLaDOS",false,6,1
double,"CATEGORY 6",800,"Which game series is set in the fictional world of Azeroth?","World of Warcraft",false,6,2
double,"CATEGORY 6",1200,"In the game 'Dark Souls', what is the name of the hidden city ruled by the Witch of Izalith?","Lost Izalith",false,6,3
double,"CATEGORY 6",1600,"Which game features the character Booker DeWitt, who must rescue a mysterious woman named Elizabeth from the floating city of Columbia?","BioShock Infinite",false,6,4
double,"CATEGORY 6",2000,"In the game 'Minecraft', what is the name of the hostile mob that explodes when near the player?","Creeper",false,6,5
final,"FINAL CATEGORY",null,"In the game 'The Legend of Zelda: Breath of the Wild', what is the name of the ancient Sheikah technology used by Link?","Sheikah Slate",true,1,1
